Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items
10100390,MKKBHUHB,MBH 103 Jászberény,"5100 Jászberény, Lehel vezér tér 16.",S,R
10100400,MKKBHUHB,MBH 103 Kiskunhalas,"6400 Kiskunhalas, Kossuth utca 3.",S,R
10100417,MKKBHUHB,MBH 103 Kisvárda,"4600 Kisvárda, Szt.László utca 51.",S,R
10100424,MKKBHUHB,MBH 103 Mosonmagyaróvár,"9200 Mosonmagyaróvár, Magyar utca 26-28.",S,R
10100431,MKKBHUHB,MBH 103 Salgótarján,"3100 Salgótarján, Fő tér 6.",S,R
10100448,MKKBHUHB,MBH 103 Szekszárd,"7100 Szekszárd, Garay tér 8.",S,R
10100455,MKKBHUHB,MBH 103 Zalaegerszeg,"8900 Zalaegerszeg, Kossuth utca 22.",S,R
10100462,MKKBHUHB,MBH 103 Szentendre,"2000 Szentendre, Kossuth L. utca 10.",S,R
10100479,MKKBHUHB,MBH 103 Budaörs,"2040 Budaörs, Szabadság út 45.",S,R
10100486,MKKBHUHB,MBH 103 Baja,"6500 Baja, Tóth Kálmán tér 1.",S,R
10100493,MKKBHUHB,MBH 103 Békéscsaba,"5600 Békéscsaba, Szabadság tér 2.",S,R
10100503,MKKBHUHB,MBH 103 Győr Árkád,"9027 Győr, Budai út 1.",S,R
10100510,MKKBHUHB,MBH 103 Pécs Árkád,"7622 Pécs, Bajcsy-Zsilinszky utca 11.",S,R
10100716,MKKBHUHB,MBH 101 EMKE,"1072 Budapest, Rákóczi út 42.",S,R
10100730,MKKBHUHB,MBH 101 Közp.Lak.Hitel,"1138 Budapest, Váci út 193.",,
10100747,MKKBHUHB,MBH 101 Különleges Műveletek,"1138 Budapest, Váci út 193.",,R
10100778,MKKBHUHB,MBH 101 Mosonmagyaróvár,"9200 Mosonmagyaróvár, Fő utca 22.",S,R
10100792,MKKBHUHB,MBH 101 Királyhágó,"1126 Budapest, Királyhágó utca 18.",S,R
10100819,MKKBHUHB,MBH 101 Közp.Számlakezelő,"1138 Budapest, Váci út 193.",,R
10100826,MKKBHUHB,MBH 101 Csepel,"1211 Budapest, Kossuth Lajos utca 47-49.",S,R
10100833,MKKBHUHB,MBH 101 Gazdagrét,"1118 Budapest, Rétköz utca ELEVEN CENTER",S,R
10100840,MKKBHUHB,MBH 101 Bosnyák tér,"1149 Budapest, Nagy Lajos király útja 146.",S,R
10100864,MKKBHUHB,MBH 101 Közp. Adatfeld.Szerv,"1138 Budapest, Váci út 193.",,
10100871,MKKBHUHB,MBH 101 Közp.Hiteladminisztráció,"1138 Budapest, Váci út 193.",,
10100888,MKKBHUHB,MBH 101 Központi Értékpapír,"1138 Budapest, Váci út 193.",S,R
10100895,MKKBHUHB,MBH 101 Központi Bankkártya,"1138 Budapest, Váci út 193.",S,R
10100912,MKKBHUHB,MBH 101 Közp. Adatforgalmazó,"1138 Budapest, Váci út 193.",,
10100936,MKKBHUHB,MBH 101 Központi KMF,"1138 Budapest, Váci út 193.",S,R
10100950,MKKBHUHB,MBH 101 Közp. Lak. Jelz. OP.,"5600 Békéscsaba, Andrássy út 37-43.",S,R
10101009,MKKBHUHB,MBH 101 Csepeli 2,"1211 Budapest, Kossuth Lajos utca 47-49.",S,R
10101016,MKKBHUHB,MBH 101 Fogarasi út,"1148 Budapest, Fogarasi út 13.",S,R
10101023,MKKBHUHB,MBH 101 Kőbánya,"1102 Budapest, Kőrösi Csoma sétány 4.",S,R
10101030,MKKBHUHB,MBH 101 Keszthely,"8360 Keszthely, Kossuth Lajos utca 103.",S,R
10101047,MKKBHUHB,MBH 101 Kiskunhalas,"6400 Kiskunhalas, Kossuth utca 10.",S,R
10101054,MKKBHUHB,MBH 101 Pápa,"8500 Pápa, Szent László utca 1.",S,R
10101061,MKKBHUHB,MBH Bank Nyrt. - Etele Pláza,"1115 Budapest, Hadak útja 1.",S,R
10101078,MKKBHUHB,MBH 101 Hódmezővásárhely,"6800 Hódmezővásárhely, Dr. Rapcsák Andrá út 4.",S,R
10101085,MKKBHUHB,MBH 101 Hatvan,"3000 Hatvan, Kossuth tér 23.",S,R
10101092,MKKBHUHB,MBH 101 Baja,"6500 Baja, Vörösmarty Mihály utca 5/A.",S,R
10101102,MKKBHUHB,MBH 101 Orosház,"5900 Orosháza, Thököly utca 15.",S,R
10101119,MKKBHUHB,MBH 101 Érd,"2030 Érd, Budai út 11.",S,R
10101126,MKKBHUHB,MBH 101 Budaörs,"2040 Budaörs, Szabadság út 91./2.",S,R
10101133,MKKBHUHB,MBH 101 Ajka,"8400 Ajka, Szabadság tér 8.",S,R
10101140,MKKBHUHB,MBH 101 Paks,"7030 Paks, Dózsa György út 45.",S,R
10101157,MKKBHUHB,MBH 101 Money plus központ,"1123 Budapest, Alkotás utca 39/C.",S,R
10101164,MKKBHUHB,MBH 101 Kalocsa,"6300 Kalocsa, Szent István király út 57/A. FSZ. 16",S,R
10101171,MKKBHUHB,MBH 101 Karcag,"5300 Karcag, Horváth Ferenc utca 3. FSZ. 1.",S,R
10101188,MKKBHUHB,MBH 101 Kisvárda,"4600 Kisvárda, Szent László utca 14. FSZ. 2.",S,R
10101195,MKKBHUHB,MBH 101 Komárom,"2900 Komárom, Igmándi út 19-21.",S,R
