Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items
11659000,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11660000,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11661001,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11665005,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11667007,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11668008,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11669009,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11670009,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11671000,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11673002,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11674003,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11675004,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11676005,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11684002,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11699006,GIBAHUHB,Erste Bank Zrt.,"1138 Budapest, Népfürdő utca 24-26.",S,R
11701004,OTPVHUHB,"OTP Budapesti r., I. Iskola u.","1011 Budapest, Iskola utca 38-42.",S,R
11701011,OTPVHUHB,"OTP Budapesti r., I. Iskola u.","1011 Budapest, Iskola utca 38-42.",S,R
11702005,OTPVHUHB,"OTP Budapesti r., II. Széna tér","1015 Budapest, Széna tér 7.",S,R
11702012,OTPVHUHB,"OTP Budapesti r., II. Széna tér","1015 Budapest, Széna tér 7.",S,R
11702036,OTPVHUHB,"OTP Budapesti r., II. Margit körút","1027 Budapest, Margit körút 8-10.",S,R
11702043,OTPVHUHB,"OTP Budapesti r., II. Fény u","1024 Budapest, Fény utca 11-13.",S,R
11702067,OTPVHUHB,"OTP Budapesti r., II. Törökvész u.","1025 Budapest, Törökvész út 1.",S,R
11702074,OTPVHUHB,"OTP Budapesti r., II. Budagyöngye bevk.","1025 Budapest, Törökvész út 1/a.",S,R
11702081,OTPVHUHB,"OTP Budapesti r., II. STOP-SHOP bevk","1021 Budapest, Hűvösvölgyi út 138.",S,R
11703006,OTPVHUHB,"OTP Budapesti r., III. Flórián tér","1033 Budapest, Flórián tér 15.",S,R
11703013,OTPVHUHB,"OTP Budapesti r., III. Flórián tér","1033 Budapest, Flórián tér 15.",S,R
11703020,OTPVHUHB,"OTP Budapesti r., III. Szépvölgyi út","1025 Budapest, Szépvölgyi út 4/B",S,R
11703037,OTPVHUHB,"OTP Budapesti r., III. Heltai J. tér","1039 Budapest, Heltai Jenő tér 9.",S,R
11703044,OTPVHUHB,"OTP Budapesti r., III. GOBUDA bev.közp.","1032 Budapest, Bécsi út 154.",S,R
11703051,OTPVHUHB,"OTP Budapesti r., III. Auchan bevk.","1033 Budapest, Szentendrei út 115.",S,R
11703068,OTPVHUHB,"OTP Budapesti r., III. Bécsi út","1032 Budapest, Bécsi út 154.",S,R
11704007,OTPVHUHB,"OTP Budapesti r., IV. Erzsébet u.","1045 Budapest, Árpád út 183-185.",S,R
11704014,OTPVHUHB,"OTP Budapesti r., IV. Kordován tér","1041 Budapest, Erzsébet utca 50.",S,R
11704021,OTPVHUHB,"OTP Budapesti r., IV. Árpád út","1042 Budapest, Árpád út 63-65.",S,R
11705008,OTPVHUHB,"OTP Budapesti r., V. Deák F. u.","1052 Budapest, Deák Ferenc utca 7-9.",S,R
11705015,OTPVHUHB,"OTP Budapesti r., V. Deák F. u.","1052 Budapest, Deák Ferenc utca 7-9.",S,R
11705022,OTPVHUHB,"OTP Budapesti r., V. Szent István krt.","1055 Budapest, Szent István körút 1.",S,R
11705039,OTPVHUHB,"OTP Budapesti r., V. Ferenciek tere","1053 Budapest, Ferenciek tere 11.",S,R
11705060,OTPVHUHB,"OTP Budapesti r., V. Deák F. u.","1052 Budapest, Deák Ferenc utca 7-9.",S,R
11705084,OTPVHUHB,"OTP Budapesti r., V. Nádor u.","1051 Budapest, Nádor utca 16.",S,R
11705118,OTPVHUHB,"OTP Budapesti r., V. Nádor u.","1051 Budapest, Nádor utca 6.",S,R
11705998,OTPVHUHB,OTP Bank Nyrt.,"1051 Budapest, Nádor utca 16.",S,R
11706009,OTPVHUHB,"OTP Budapesti r., VII. Andrássy út","1075 Budapest, Károly körút 25.",S,R
11706016,OTPVHUHB,"OTP Budapesti r., VI. Andrássy út","1061 Budapest, Andrássy út 6.",S,R
11706023,OTPVHUHB,"OTP Budapesti r., VII. Károly krt.","1075 Budapest, Károly körút 25.",S,R
11706030,OTPVHUHB,OTP Partner Centrum 2.,"1061 Budapest, Andrássy út 6.",S,R
11706047,OTPVHUHB,"OTP Budapesti r., VI. Teréz körút","1067 Budapest, Oktogon 3.",S,R
11706061,OTPVHUHB,"OTP Budapesti r., VI. Képviselőház","1055 Budapest, Széchenyi rakpart 19.",,
11706078,OTPVHUHB,"OTP Budapesti r., VII. Károly krt.","1075 Budapest, Károly körút 25.",S,R
11707000,OTPVHUHB,"OTP Budapesti r., VI. Oktogon tér","1067 Budapest, Oktogon 3.",S,R
11707024,OTPVHUHB,"OTP Budapesti r., VII. Király u.","1077 Budapest, Király utca 49.",S,R
11707031,OTPVHUHB,"OTP Budapesti r., VI. Oktogon tér","1066 Budapest, Oktogon tér 3.",S,R
11707055,OTPVHUHB,"OTP Budapesti r., VII. Károly krt.","1075 Budapest, Károly körút 25.",S,R
11707062,OTPVHUHB,"OTP BPR, VII. Károly krt.","1085 Budapest, Kálvin tér 12-13.",S,R
11707079,OTPVHUHB,"OTP Budapesti r., VII. Thököly út","1076 Budapest, Thököly út 4/B",S,R
11707093,OTPVHUHB,"OTP Budapesti r., VII. Erzsébet körút","1073 Budapest, Erzsébet körút 41.",S,R
11707103,OTPVHUHB,"OTP Bank Budapesti r., VII. Thököly út","1076 Budapest, Thököly út 4.",S,R
11707110,OTPVHUHB,"OTP Budapesti r., VII. Károly krt.","1075 Budapest, Károly körút 25.",S,R
11708001,OTPVHUHB,"OTP Budapesti r., VIII. József krt.","1085 Budapest, József körút 33.",S,R
11708025,OTPVHUHB,"OTP Budapesti r., VIII. József krt.","1085 Budapest, József körút 36.",S,R
11708049,OTPVHUHB,"OTP Budapesti r., VIII. József krt.","1085 Budapest, József körút 33.",S,R
11708070,OTPVHUHB,"OTP Budapesti r., VIII. József krt.","1085 Budapest, József körút 33.",S,R
11708087,OTPVHUHB,"OTP Budapesti r., Aréna Plaza","1076 Budapest, Thököly út 4.",S,R
11708094,OTPVHUHB,OTP Kínai Kísérleti Képviseleti Iroda,"1087 Budapest, Könyves Kálmán körút 76/1.",S,R
11708104,OTPVHUHB,"OTP Budapesti r., VIII. Népszínház u.","1081 Budapest, Népszínház utca 3-5.",S,R
11708111,OTPVHUHB,OTP Partner Centrum 3.,"1087 Budapest, Kerepesi út 9.",S,R
11709002,OTPVHUHB,"OTP Budapesti r., VIII.Futó u.-Corvin P.","1082 Budapest, Futó utca 37-45.",S,R
11709019,OTPVHUHB,"OTP Budapesti r., XIX. Shopmark bevk.","1191 Budapest, Üllői út 201.",S,R
11709026,OTPVHUHB,"OTP Budapesti r., IX. Ferenc krt.","1094 Budapest, Ferenc körút 13.",S,R
11709040,OTPVHUHB,"OTP Budapesti r., VIII. József krt.","1085 Budapest, Futó utca 37-45.",S,R
11709057,OTPVHUHB,"OTP Budapest régió, VIII. Kálvin tér","1085 Budapest, Kálvin tér 12-13.",S,R
11709088,OTPVHUHB,"OTP Budapesti r., IX. Lurdy üzletház","1097 Budapest, Könyves Kálmán körút 12-14.",S,R
11709095,OTPVHUHB,"OTP Budapesti r., IX. Haller-kert","1083 Budapest, Futó utca 35-45.",S,R
11710002,OTPVHUHB,"OTP Budapesti r., X. Kőrösi Csoma sétány","1102 Budapest, Kőrösi Csoma Sándor út 6.",S,R
11710019,OTPVHUHB,"OTP Budapesti r., X. Kőrösi Csoma sétány","1102 Budapest, Kőrösi Csoma Sándor út 6.",S,R
11710026,OTPVHUHB,"OTP Budapesti r., Family Center ük.","1103 Budapest, Sibrik Miklós út 30.",S,R
11710088,OTPVHUHB,"OTP Budapesti r., X. Árkád üzletk.","1106 Budapest, Örs vezér tere 25.",S,R
11710095,OTPVHUHB,"OTP Budapesti r., Árkád - Innovációs f.","1106 Budapest, Örs vezér tere 25/A 1. EM.",S,R
11710851,OTPVHUHB,"OTP Budapesti r., X. Kőrösi Csoma sétány","1102 Budapest, Kőrösi Csoma Sándor út 6.",S,R
11711003,OTPVHUHB,"OTP Budapesti r., XI. Bartók B. út","1115 Budapest, Bartók Béla út 92-94.",S,R
11711010,OTPVHUHB,"OTP Budapesti r., XI. Móricz Zs. körtér","1111 Budapest, Móricz Zsigmond körtér 18.",S,R
11711027,OTPVHUHB,"OTP Budapesti r., XI. Bartók B. út","1115 Budapest, Bartók Béla út 92-94.",S,R
11711034,OTPVHUHB,"OTP Budapesti r., XI. Karinthy F. u.","1111 Budapest, Karinthy Frigyes út 16.",S,R
11711041,OTPVHUHB,"OTP Budapesti r., XI. Karinthy F. út","1111 Budapest, Karinthy Frigyes út 16.",S,R
11711058,OTPVHUHB,"OTP Budapesti r., XI. Bartók B. út","1115 Budapest, Bartók Béla út 92-94.",S,R
11711065,OTPVHUHB,"OTP Budapesti r., Rétköz u.","1118 Budapest, Rétköz utca 5.",S,R
11711089,OTPVHUHB,"OTP Budapesti r., XI. Karinthy F út","1111 Budapest, Karinthy Frigyes út 16.",S,R
11711096,OTPVHUHB,OTP Budai Régió Savoya-Auchan fiók,"1117 Budapest, Hunyadi János út 19.",S,R
11711106,OTPVHUHB,OTP Budapesti r. Allee Bevásárlóközpont,"1117 Budapest, Október huszonharmadika utca 8-10.",S,R
11711113,OTPVHUHB,OTP Budapesti r. Etele Pláza,"1119 Budapest, Hadak útja 1.",S,R
11711711,OTPVHUHB,"OTP Budapesti r., XI. Speciális Fiók","1052 Budapest, Deák Ferenc utca 7-9.",S,R
11712004,OTPVHUHB,"OTP Budapesti r., XII. Böszörményi út","1126 Budapest, Böszörményi út 9-11.",S,R
11712059,OTPVHUHB,"OTP Budapesti r., Alkotás utca","1123 Budapest, Alkotás utca 53.",S,R
11712066,OTPVHUHB,"OTP Budapesti r., XII. Hertelendi u.","1126 Budapest, Böszörményi út 9-11.",S,R
11712073,OTPVHUHB,"OTP Budapesti r., XII. Jagelló út","1124 Budapest, Jagelló út 20/A",S,R
11713005,OTPVHUHB,"OTP Budapesti r., XIII. Nyugati tér","1055 Budapest, Nyugati tér 9.",S,R
11713012,OTPVHUHB,"OTP Budapesti r., XIII. Nyugati tér","1055 Budapest, Nyugati tér 9.",S,R
11713029,OTPVHUHB,"OTP Budapesti r., XIII. Tátra u.","1136 Budapest, Tátra utca 10.",S,R
11713036,OTPVHUHB,"OTP Budapesti r., XIII. Pozsonyi út","1055 Budapest, Szent István körút 1/a.",S,R
11713081,OTPVHUHB,"OTP Budapesti r., XIII. West End","1062 Budapest, Váci út 1-3.",S,R
11713177,OTPVHUHB,"OTP Budapesti r., XIII. Váci út","1138 Budapest, Váci út 135-139.",S,R
11713184,OTPVHUHB,"OTP Budapesti r., XIII. Váci út","1133 Budapest, Váci út 80.",S,R
11713191,OTPVHUHB,"OTP Budapesti r., XIII. Váci út","1134 Budapest, Váci út 23-27.",S,R
11713201,OTPVHUHB,"OTP Budapesti r., XIII. Lehel Csarnok","1134 Budapest, Váci út 17.",S,R
11713218,OTPVHUHB,"OTP Budapesti r., Central Park","1135 Budapest, Lehel utca 70-76.",S,R
11713225,OTPVHUHB,OTP Partner Centrum,"1138 Budapest, Váci út 135-139.",S,R
11713232,OTPVHUHB,OTP BPR Privát Banki Főosztály,"1138 Budapest, Babér utca 9.",S,R
11713249,OTPVHUHB,"OTP BPR 1131 Budapest, Babér utca 1-5.","1131 Budapest, Babér utca 1-5.",S,R
11713500,OTPVHUHB,OTP BPR Ingatlanhit.feld. és döntésh.K. ,"1138 Budapest, Váci út 135-139.",S,R
11713603,OTPVHUHB,"OTP Budapesti r.,BPR MFB Feld.Közp.","1131 Budapest, Babér utca 7.",S,R
11714006,OTPVHUHB,"OTP Budapesti r., XIV. Nagy L. kir.","1147 Budapest, Csömöri út 13-19.",S,R
11714013,OTPVHUHB,"OTP Budapesti r., XIV. Fogarasi út","1143 Budapest, Hungária  krt. 17-19.",S,R
11714020,OTPVHUHB,"OTP Budapesti r., XIV. Nagy L. kir.","1148 Budapest, Nagy Lajos király útja 19-21.",S,R
11714044,OTPVHUHB,OTP Budapesti r. XIV. Bosnyák tér,"1147 Budapest, Csömöri út 13-19.",S,R
11714051,OTPVHUHB,"OTP Budapesti r., XIV. Thököly út","1146 Budapest, Thököly út 102/B",S,R
11714068,OTPVHUHB,"OTP Budapesti r., XIV. BNV","1101 Budapest, Albertirsai út 10.",,
11714082,OTPVHUHB,"OTP Budapesti r., Hungária krt.","1143 Budapest, Hungária körút 17-19.",S,R
11715007,OTPVHUHB,"OTP Budapesti r., XV. Pólus Center","1152 Budapest, Szentmihályi út 131.",S,R
11715014,OTPVHUHB,OTP Budapesti r. XV. Pólus Center,"1152 Budapest, Szentmihályi út 131.",S,R
11715021,OTPVHUHB,"OTP Budapesti r., XV. Zsókavár u.","1152 Budapest, Szentmihályi út 131.",S,R
11715038,OTPVHUHB,"OTP Budapesti r., XV. Pólus Center","1152 Budapest, Szentmihályi út 131.",S,R
11716008,OTPVHUHB,"OTP Budapesti r., XVI. Jókai u.","1163 Budapest, Jókai Mór utca 3/B",S,R
11716015,OTPVHUHB,"OTP Budapesti r., XVI. Jókai u.","1163 Budapest, Jókai Mór utca 3/B.",S,R
11717009,OTPVHUHB,"OTP Budapesti r., XVII. Ferihegyi út","1173 Budapest, Ferihegyi út 93.",S,R
11717016,OTPVHUHB,"OTP Budapesti r., XVII. Tesco hiperm.","1173 Budapest, Pesti út 5-7.",S,R
11718000,OTPVHUHB,"OTP Budapesti r., XVIII. Üllői út","1181 Budapest, Üllői út 377.",S,R
11718017,OTPVHUHB,"OTP Budapesti r., XIX. Csokonai u.","1193 Budapest, Csokonai utca 3.",S,R
11718024,OTPVHUHB,"OTP Budapesti r., XVIII. Vasút u.","1239 Budapest, Bevásárló utca 2.",S,R
11718031,OTPVHUHB,"OTP Budapesti r., Market C. Ferihegy","2220 Vecsés, Fő út 246-248.",,
11718048,OTPVHUHB,OTP Budapesti r. XVIII. Üllői út,"1181 Budapest, Üllői út 377.",S,R
11719001,OTPVHUHB,"OTP Budapesti r., XIX. Üllői út","1195 Budapest, Üllői út 285.",S,R
11719018,OTPVHUHB,"OTP Budapesti r., XIX. Csokonai u.","1181 Budapest, Üllői út 377.",S,R
11719025,OTPVHUHB,"OTP Budapesti r.,KÖKI bev.közp.","1191 Budapest, Vak Bottyán utca 75. A-C.",S,R
11719032,OTPVHUHB,"OTP Budapesti r., XIX. Europark Bev.K.","1191 Budapest, Üllői út 201.",S,R
11720001,OTPVHUHB,"OTP Budapesti r., XX. Kossuth L. u.","1204 Budapest, Kossuth Lajos utca 44-46.",S,R
11720018,OTPVHUHB,"OTP Budapesti r., XX. Grassalkovich u.","1238 Budapest, Grassalkovich út 160.",S,R
11720025,OTPVHUHB,"OTP BPR, XX. Bíró Mihály u.","1204 Budapest, Kossuth Lajos utca 44-46.",S,R
11720032,OTPVHUHB,OTP 10. sz vámhivatal XX. ker.,"1237 Budapest, Nagykőrösi út 353.",,
11720049,OTPVHUHB,"OTP Budapesti r., XX. Auchan bevk.","1239 Budapest, Bevásárló utca 2-6.",S,R
11720056,OTPVHUHB,"OTP Budapesti r., XX. Közp. Áruhitelezés","1204 Budapest, Kossuth Lajos utca 84.",,
11720850,OTPVHUHB,"OTP Budapesti r., XX. Kossuth L. u.","1204 Budapest, Kossuth Lajos utca 44-46.",S,R
11721002,OTPVHUHB,"OTP Budapesti r., XXI. Kossuth L. u.","1211 Budapest, Kossuth Lajos utca 86.",S,R
11721019,OTPVHUHB,"OTP Budapesti r., XXI. Kossuth L. u.","1211 Budapest, Kossuth Lajos utca 99.",S,R
11721026,OTPVHUHB,"OTP Budapesti r., XXI. Kossuth L. u.","1211 Budapest, Kossuth Lajos utca 99.",S,R
11721033,OTPVHUHB,"OTP Budapesti r., XXI. Kossuth L. u.","1211 Budapest, Kossuth Lajos utca 99.",S,R
11722003,OTPVHUHB,"OTP Budapesti r., XXII. Kossuth L. u.","1221 Budapest, Kossuth Lajos utca 31.",S,R
11722010,OTPVHUHB,"OTP Budapesti r., XXII. Campona bevk.","1223 Budapest, Nagytétényi út 37-45.",S,R
11731001,OTPVHUHB,"OTP Dél-dunántúli r., Pécs","7623 Pécs, Rákóczi út 44.",S,R
11731018,OTPVHUHB,"OTP Dél-dunántúli r., Pécs","7621 Pécs, Rákóczi út 44.",S,R
11731025,OTPVHUHB,"OTP Dél-dunántúli r., Pécs-Kertváros","7632 Pécs, Diána tér 14.",S,R
11731032,OTPVHUHB,"OTP Dél-dunántúli r., Pécs-Meszes","7629 Pécs, Komját Aladár utca 2.",S,R
11731049,OTPVHUHB,"OTP Dél-dunántúli r., Pécs","7624 Pécs, Budai Nagy Antal utca 1.",S,R
11731056,OTPVHUHB,"OTP Dél-dunántúli r., Pécs-Újmecsekalja","7633 Pécs, Ybl Miklós utca 7/3.",S,R
11731063,OTPVHUHB,"OTP Dél-dunántúli r., Komló","7300 Komló, Kossuth Lajos utca 95/1.",S,R
11731070,OTPVHUHB,"OTP Dél-dunántúli r., Mohács","7700 Mohács, Széchenyi tér 1.",S,R
11731087,OTPVHUHB,"OTP Dél-dunántúli r., Siklós","7800 Siklós, Felszabadulás utca 60-62.",S,R
11731094,OTPVHUHB,"OTP Dél-dunántúli r., Szigetvár","7900 Szigetvár, Vár utca 4.",S,R
11731104,OTPVHUHB,"OTP DDR, Pécsvárad","7621 Pécs, Rákóczi út 44.",S,R
11731111,OTPVHUHB,"OTP Dél-dunántúli r., Sásd","7200 Dombóvár, Dombó Pál utca 3.",S,R
11731128,OTPVHUHB,"OTP Dél-dunántúli r., Sellye","7960 Sellye, Köztársaság tér 4.",S,R
11731135,OTPVHUHB,"OTP Dél-dunántúli r., Szentlőrinc","7940 Szentlőrinc, Munkácsy Mihály utca 16.",S,R
11731142,OTPVHUHB,"OTP Dél-dunántúli r., Villány","7773 Villány, Baross Gábor utca 36.",S,R
11731159,OTPVHUHB,"OTP Dél-dunántúli r., Pécs-Király","7621 Pécs, Király utca 11.",S,R
11731180,OTPVHUHB,"OTP Dél-dunántúli r., Bóly","7754 Bóly, Hősök tere 8/B",S,R
11731207,OTPVHUHB,OTP Dél-dunántúli r. Pécsi P.C.,"7624 Pécs, Budai Nagy Antal utca 1.",S,R
11731214,OTPVHUHB,OTP DDR Vállalati Számlavezetési Központ,"7621 Pécs, Rákóczi út 1.",S,R
11731221,OTPVHUHB,OTP DDR Pécs Cashless Fiók,"7622 Pécs, Bajcsy Zsilinszky utca 11/1.",S,R
11731609,OTPVHUHB,"OTP Dél-dunántúli r., DDR MFB Feld.Közp.","7100 Szekszárd, Szent István tér 5-7.",S,R
11732002,OTPVHUHB,"OTP Dél-alföldi r., Kecskemét","6000 Kecskemét, Korona utca 2.",S,R
11732019,OTPVHUHB,"OTP Dél-alföldi r., Kecskemét","6000 Kecskemét, Szabadság tér 5.",S,R
11732026,OTPVHUHB,"OTP Dél-alföldi r., Kecskemét","6000 Kecskemét, Petőfi Sándor utca 16.",S,R
11732033,OTPVHUHB,"OTP Dél-alföldi r., Baja","6500 Baja, Deák Ferenc utca 1.",S,R
11732040,OTPVHUHB,"OTP Dél-alföldi r., Kalocsa","6300 Kalocsa, Szent István király út 43-45.",S,R
11732057,OTPVHUHB,"OTP Dél-alföldi r., Kiskőrös","6200 Kiskőrös, Petőfi Sándor tér 13.",S,R
11732064,OTPVHUHB,"OTP Dél-alföldi r., Kiskunhalas","6400 Kiskunhalas, Sétáló utca 7.",S,R
11732071,OTPVHUHB,"OTP Dél-alföldi r., Kiskunfélegyháza","6100 Kiskunfélegyháza, Petőfi tér 1.",S,R
11732088,OTPVHUHB,"OTP Dél-alföldi r., Bácsalmás","6430 Bácsalmás, Szent János utca 30-32.",S,R
11732095,OTPVHUHB,"OTP Dél-alföldi r., Kecel","6237 Kecel, Császártöltési utca 1.",S,R
11732105,OTPVHUHB,"OTP DAR, Dunavecse","6230 Solt, Kossuth L. utca 48-50.",S,R
11732112,OTPVHUHB,"OTP DAR, Izsák","6000 Kecskemét, Korona utca 2.",S,R
11732129,OTPVHUHB,"OTP Dél-alföldi r., Jánoshalma","6440 Jánoshalma, Rákóczi Ferenc utca 10.",S,R
11732136,OTPVHUHB,"OTP Dél-alföldi r., Kecel","6237 Kecel, Császártöltési utca 1.",S,R
11732143,OTPVHUHB,"OTP Dél-alföldi r., Kiskunmajsa","6120 Kiskunmajsa, Csendes köz 1.",S,R
11732150,OTPVHUHB,"OTP Dél-alföldi r., Kunszentmiklós","6090 Kunszentmiklós, Kálvin tér 11.",S,R
11732167,OTPVHUHB,"OTP Dél-alföldi r., Lajosmizse","6050 Lajosmizse, Dózsa György út 102/A",S,R
11732174,OTPVHUHB,OTP DAR Mélykút,"6449 Mélykút, Petőfi tér 18.",S,R
11732181,OTPVHUHB,"OTP Dél-alföldi r., Soltvadkert","6230 Soltvadkert, Szentháromság utca 2.",S,R
11732198,OTPVHUHB,"OTP Dél-alföldi r., Kunszentmiklós","6090 Kunszentmiklós, Kálvin tér 11.",S,R
11732208,OTPVHUHB,"OTP Dél-alföldi r., Tiszakécske","6060 Tiszakécske, Béke tér 6.",S,R
11732215,OTPVHUHB,"OTP Dél-alföldi r., Kiskunfélegyháza","6100 Kiskunfélegyháza, Petőfi tér 6-7.",,
11732222,OTPVHUHB,"OTP Dél-alföldi r., Kecskemét","6000 Kecskemét, Szabadság tér 5.",,
11732239,OTPVHUHB,"OTP Dél-alföldi r., Kecskemét Pólus Róna","6000 Kecskemét, Dunaföldvári út 2.",S,R
11732246,OTPVHUHB,OTP Dél-alföldi r. Kecskeméti P.C.,"6000 Kecskemét, Szabadság tér 5.",S,R
11732301,OTPVHUHB,"OTP Dél-alföldi r., Solt","6320 Solt, Kossuth Lajos utca 48-50.",S,R
11732318,OTPVHUHB,"OTP Dél-alföldi r., Kecskemét","6000 Kecskemét, Szabadság tér 5.",S,R
11732325,OTPVHUHB,"OTP Dél-alföldi r., Kecskemét","6000 Kecskemét, Szabadság tér 5.",,
11732332,OTPVHUHB,"OTP Dél-alföldi r., Kecskemét","6000 Kecskemét, Szabadság tér 5.",S,R
11732349,OTPVHUHB,"OTP Dél-alföldi r., Baja","6500 Baja, Deák Ferenc utca 1.",S,R
11732356,OTPVHUHB,"OTP Dél-alföldi r., Szabadszállás","6080 Szabadszállás, Kálvin tér 4.",S,R
11732363,OTPVHUHB,"OTP Dél-alföldi r., Kalocsa","6300 Kalocsa, Szent István király út 43-45.",S,R
11732600,OTPVHUHB,"OTP Dél-alföldi r., DAR MFB Feld.Közp.","6000 Kecskemét, Szabadság tér 5.",S,R
11732703,OTPVHUHB,OTP DAR Vállalati számlavezetési Közp.,"6000 Kecskemét, Korona utca 2.",S,R
11733003,OTPVHUHB,"OTP Dél-alföldi r., Békéscsaba","5600 Békéscsaba, Szent István tér 3.",S,R
11733010,OTPVHUHB,"OTP Dél-alföldi r., Békéscsaba","5600 Békéscsaba, Andrássy út 29-33.",S,R
11733027,OTPVHUHB,"OTP Dél-alföldi r., Gyula","5700 Gyula, Bodoky utca 9.",S,R
11733034,OTPVHUHB,"OTP Dél-alföldi r., Mezőkovácsháza","5800 Mezőkovácsháza, Árpád utca 177.",S,R
11733041,OTPVHUHB,"OTP Dél-alföldi r., Orosháza","5900 Orosháza, Kossuth Lajos utca 20.",S,R
11733058,OTPVHUHB,"OTP Dél-alföldi r., Szarvas","5540 Szarvas, Kossuth tér 1.",S,R
11733065,OTPVHUHB,"OTP Dél-alföldi r., Szeghalom","5520 Szeghalom, Tildy Zoltán utca 4-8.",S,R
11733072,OTPVHUHB,"OTP Dél-alföldi r., Békés","5630 Békés, Széchenyi tér 2.",S,R
11733089,OTPVHUHB,"OTP DAR, Battonya","5800 Mezőkovácsháza, Árpád utca 177.",S,R
11733096,OTPVHUHB,"OTP Dél-alföldi r., Orosháza","5900 Orosháza, Kossuth Lajos utca 20.",S,R
11733106,OTPVHUHB,"OTP Dél-alföldi r., Dévaványa","5510 Dévaványa, Árpád utca 32.",S,R
11733113,OTPVHUHB,"OTP Dél-alföldi r., Elek","5742 Elek, Gyulai út 5.",S,R
11733120,OTPVHUHB,"OTP Dél-alföldi r., Gyomaendrőd","5500 Gyomaendrőd-Gyoma, Szabadság tér 7.",S,R
11733137,OTPVHUHB,"OTP Dél-alföldi r., Békéscsaba","5600 Békéscsaba, Szent István tér 3.",S,R
11733144,OTPVHUHB,"OTP Dél-alföldi r., Mezőberény","5650 Mezőberény, Kossuth Lajos tér 12.",S,R
11733151,OTPVHUHB,"OTP Dél-alföldi r., Mezőhegyes","5820 Mezőhegyes, Zala György lakótelep 7.",S,R
11733168,OTPVHUHB,"OTP Dél-alföldi r., Orosháza","5900 Orosháza, Kossuth Lajos utca 20.",S,R
11733175,OTPVHUHB,"OTP Dél-alföldi r., Sarkad","5720 Sarkad, Árpád fejedelem tér 5.",S,R
11733182,OTPVHUHB,"OTP Dél-alföldi r., Orosháza","5900 Orosháza, Kossuth Lajos utca 20.",S,R
11733199,OTPVHUHB,OTP DAR Békéscsaba,"5600 Békéscsaba, Szent István tér 3.",S,R
11733209,OTPVHUHB,"OTP Dél-alföldi r., Vésztő","5530 Vésztő, Kossuth Lajos utca 72.",S,R
11733216,OTPVHUHB,"OTP Dél-alföldi r., Békéscsaba","5600 Békéscsaba, Szent István tér 3.",S,R
11733223,OTPVHUHB,"OTP Dél-alföldi r., Füzesgyarmat","5520 Szeghalom, Tildy Zoltán utca 4-8.",S,R
11733230,OTPVHUHB,"OTP Dél-alföldi r., Békéscsaba","5600 Békéscsaba, Szent István tér 3.",,
11733254,OTPVHUHB,"OTP Dél-alföldi r., Békéscsaba Csaba C.","5600 Békéscsaba, Andrássy út 37-43.",S,R
11734004,OTPVHUHB,"OTP Észak-keleti r., Miskolc","3530 Miskolc, Uitz Béla utca 6.",S,R
11734011,OTPVHUHB,"OTP Észak-keleti r., Miskolc","3525 Miskolc, Széchenyi István út 29.",S,R
11734028,OTPVHUHB,"OTP Észak-keleti r., Diósgyőr","3532 Miskolc, Herceg Hajtás dűlő 39.",S,R
11734035,OTPVHUHB,"OTP Észak-keleti r., Miskolc","3530 Miskolc, Rákóczi Ferenc utca 1.",S,R
11734042,OTPVHUHB,"OTP Észak-keleti r., Miskolc-Kilián","3534 Miskolc, Iván utca 31.",S,R
11734059,OTPVHUHB,"OTP Észak-keleti r., Ózd","3600 Ózd, Városház tér 1/A",S,R
11734066,OTPVHUHB,"OTP Észak-keleti r., Miskolc","3530 Miskolc, Uitz Béla utca 6.",S,R
11734073,OTPVHUHB,"OTP Észak-keleti r., Miskolc","3534 Miskolc, Árpád út 2.",S,R
11734080,OTPVHUHB,"OTP Észak-keleti r., Edelény","3780 Edelény, Tóth Árpád út 1.",S,R
