"CountryCode","LookupKey","Bic","BankCode","BranchCode","BankName","Source"
"HU","514","MKKBHUHB","514","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","515","MKKBHUHB","515","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","517","MKKBHUHB","517","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","519","MKKBHUHB","519","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","520","MKKBHUHB","520","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","523","MKKBHUHB","523","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","525","MKKBHUHB","525","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","526","MKKBHUHB","526","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","528","MKKBHUHB","528","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","531","MKKBHUHB","531","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","532","MKKBHUHB","532","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","533","MKKBHUHB","533","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","535","MKKBHUHB","535","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","536","MKKBHUHB","536","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","537","MKKBHUHB","537","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","539","MKKBHUHB","539","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","540","MKKBHUHB","540","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","542","MKKBHUHB","542","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","543","MKKBHUHB","543","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","545","MKKBHUHB","545","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","546","MKKBHUHB","546","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","551","MKKBHUHB","551","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","554","MKKBHUHB","554","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","556","MKKBHUHB","556","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","558","MKKBHUHB","558","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","568","MKKBHUHB","568","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","569","MKKBHUHB","569","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","571","MKKBHUHB","571","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","572","MKKBHUHB","572","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","574","MKKBHUHB","574","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","576","MKKBHUHB","576","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","577","MKKBHUHB","577","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","578","MKKBHUHB","578","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","581","MKKBHUHB","581","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","586","DTBAHUHB","586","","MBH DUNA Bank Zrt","Hungarian branch office register (sht.csv)"
"HU","589","MKKBHUHB","589","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","590","MKKBHUHB","590","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","591","MKKBHUHB","591","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","592","MKKBHUHB","592","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","593","MKKBHUHB","593","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","595","MKKBHUHB","595","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","596","MKKBHUHB","596","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","598","MKKBHUHB","598","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","599","MKKBHUHB","599","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","603","MKKBHUHB","603","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","606","MKKBHUHB","606","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
"HU","612","HBWEHUHB","612","","MAGNET Bank Központi fiók","Hungarian branch office register (sht.csv)"
"HU","614","MKKBHUHB","614","","MBH Bank Nyrt","Hungarian branch office register (sht.csv)"
