CountryCode,LookupKey,Bic,BankCode,BranchCode,BankName,Source
FR,17515,CEPAFRPP751,17515,,Caisse d'epargne et de prevoyance Ile-de-France,"France main bank mapping table"
FR,17607,CCBPFRPPXXX,17607,,Banque populaire d'Alsace,"France main bank mapping table"
FR,17806,AGRIFRPP878,17806,,Caisse regionale de credit agricole mutuel Centre-Est,"France main bank mapping table"
FR,17807,CCBPFRPPTLS,17807,,Banque populaire Occitane,"France main bank mapping table"
FR,17906,AGRIFRPP879,17906,,Caisse regionale de credit agricole mutuel de l'Anjou et du Maine,"France main bank mapping table"
FR,18106,AGRIFRPP881,18106,,Caisse regionale de credit agricole mutuel des Savoie,"France main bank mapping table"
FR,18206,AGRIFRPP882,18206,,Caisse regionale de credit agricole mutuel de Paris et d'Ile-de-France,"France main bank mapping table"
FR,18306,AGRIFRPP883,18306,,Caisse regionale de credit agricole mutuel Normandie-Seine,"France main bank mapping table"
FR,18315,CEPAFRPP831,18315,,Caisse d'epargne et de prevoyance Cote d'Azur,"France main bank mapping table"
FR,18370,GPBAFRPPXXX,18370,,Banque Finama,"France main bank mapping table"
FR,18706,AGRIFRPP887,18706,,Caisse regionale de credit agricole mutuel Brie Picardie,"France main bank mapping table"
FR,18707,CCBPFRPPVER,18707,,Banque populaire Val de France,"France main bank mapping table"
FR,18715,CEPAFRPP871,18715,,Caisse d'epargne et de prevoyance d'Auvergne et du Limousin,"France main bank mapping table"
FR,19106,AGRIFRPP891,19106,,Caisse regionale de credit agricole mutuel Provence-Cote d'Azur,"France main bank mapping table"
FR,19406,AGRIFRPP894,19406,,Caisse regionale de credit agricole mutuel de la Touraine et du Poitou,"France main bank mapping table"
FR,19506,AGRIFRPP895,19506,,Caisse regionale de credit agricole mutuel du Centre Ouest,"France main bank mapping table"
FR,19870,SOAPFR22XXX,19870,,Societe des paiements Pass - S2P,"France main bank mapping table"
FR,21833,PRNSFRP1XXX,21833,,,"France main bank mapping table"
FR,30003,SOGEFRPPXXX,30003,,Societe generale,"France main bank mapping table"
FR,30004,BNPAFRPPXXX,30004,,BNP Paribas,"France main bank mapping table"
FR,30087,CMCIFRPPXXX,30087,,CM - CIC BANQUES,"User provided data"
FR,30087:00006,CMCIFRPPXXX,30087,00006,CM - CIC BANQUES,"User provided data"
FR,30087:00531,CMCIFRPPXXX,30087,00531,CM - CIC BANQUES,"User provided data"
FR,30087:33001,CMCIFRPPXXX,30087,33001,CM - CIC BANQUES,"User provided data"
FR,30087:33002,CMCIFRPPXXX,30087,33002,CM - CIC BANQUES,"User provided data"
FR,30087:33005,CMCIFRPPXXX,30087,33005,CM - CIC BANQUES,"User provided data"
FR,30087:33007,CMCIFRPPXXX,30087,33007,CM - CIC BANQUES,"User provided data"
FR,30087:33020,CMCIFRPPXXX,30087,33020,CM - CIC BANQUES,"User provided data"
FR,30087:33023,CMCIFRPPXXX,30087,33023,CM - CIC BANQUES,"User provided data"
FR,30087:33024,CMCIFRPPXXX,30087,33024,CM - CIC BANQUES,"User provided data"
FR,30087:33026,CMCIFRPPXXX,30087,33026,CM - CIC BANQUES,"User provided data"
FR,30087:33027,CMCIFRPPXXX,30087,33027,CM - CIC BANQUES,"User provided data"
FR,30087:33028,CMCIFRPPXXX,30087,33028,CM - CIC BANQUES,"User provided data"
FR,30087:33029,CMCIFRPPXXX,30087,33029,CM - CIC BANQUES,"User provided data"
FR,30087:33040,CMCIFRPPXXX,30087,33040,CM - CIC BANQUES,"User provided data"
FR,30087:33042,CMCIFRPPXXX,30087,33042,CM - CIC BANQUES,"User provided data"
FR,30087:33043,CMCIFRPPXXX,30087,33043,CM - CIC BANQUES,"User provided data"
FR,30087:33044,CMCIFRPPXXX,30087,33044,CM - CIC BANQUES,"User provided data"
FR,30087:33045,CMCIFRPPXXX,30087,33045,CM - CIC BANQUES,"User provided data"
FR,30087:33080,CMCIFRPPXXX,30087,33080,CM - CIC BANQUES,"User provided data"
FR,30087:33081,CMCIFRPPXXX,30087,33081,CM - CIC BANQUES,"User provided data"
FR,30087:33085,CMCIFRPPXXX,30087,33085,CM - CIC BANQUES,"User provided data"
FR,30087:33086,CMCIFRPPXXX,30087,33086,CM - CIC BANQUES,"User provided data"
FR,30087:33090,CMCIFRPPXXX,30087,33090,CM - CIC BANQUES,"User provided data"
FR,30087:33100,CMCIFRPPXXX,30087,33100,CM - CIC BANQUES,"User provided data"
FR,30087:33101,CMCIFRPPXXX,30087,33101,CM - CIC BANQUES,"User provided data"
FR,30087:33103,CMCIFRPPXXX,30087,33103,CM - CIC BANQUES,"User provided data"
FR,30087:33104,CMCIFRPPXXX,30087,33104,CM - CIC BANQUES,"User provided data"
FR,30087:33120,CMCIFRPPXXX,30087,33120,CM - CIC BANQUES,"User provided data"
FR,30087:33122,CMCIFRPPXXX,30087,33122,CM - CIC BANQUES,"User provided data"
FR,30087:33124,CMCIFRPPXXX,30087,33124,CM - CIC BANQUES,"User provided data"
FR,30087:33126,CMCIFRPPXXX,30087,33126,CM - CIC BANQUES,"User provided data"
FR,30087:33140,CMCIFRPPXXX,30087,33140,CM - CIC BANQUES,"User provided data"
FR,30087:33141,CMCIFRPPXXX,30087,33141,CM - CIC BANQUES,"User provided data"
FR,30087:33142,CMCIFRPPXXX,30087,33142,CM - CIC BANQUES,"User provided data"
FR,30087:33143,CMCIFRPPXXX,30087,33143,CM - CIC BANQUES,"User provided data"
FR,30087:33145,CMCIFRPPXXX,30087,33145,CM - CIC BANQUES,"User provided data"
FR,30087:33147,CMCIFRPPXXX,30087,33147,CM - CIC BANQUES,"User provided data"
FR,30087:33148,CMCIFRPPXXX,30087,33148,CM - CIC BANQUES,"User provided data"
FR,30087:33149,CMCIFRPPXXX,30087,33149,CM - CIC BANQUES,"User provided data"
FR,30087:33190,CMCIFRPPXXX,30087,33190,CM - CIC BANQUES,"User provided data"
FR,30087:33200,CMCIFRPPXXX,30087,33200,CM - CIC BANQUES,"User provided data"
FR,30087:33201,CMCIFRPPXXX,30087,33201,CM - CIC BANQUES,"User provided data"
FR,30087:33203,CMCIFRPPXXX,30087,33203,CM - CIC BANQUES,"User provided data"
FR,30087:33204,CMCIFRPPXXX,30087,33204,CM - CIC BANQUES,"User provided data"
FR,30087:33205,CMCIFRPPXXX,30087,33205,CM - CIC BANQUES,"User provided data"
FR,30087:33220,CMCIFRPPXXX,30087,33220,CM - CIC BANQUES,"User provided data"
FR,30087:33221,CMCIFRPPXXX,30087,33221,CM - CIC BANQUES,"User provided data"
FR,30087:33222,CMCIFRPPXXX,30087,33222,CM - CIC BANQUES,"User provided data"
FR,30087:33224,CMCIFRPPXXX,30087,33224,CM - CIC BANQUES,"User provided data"
FR,30087:33226,CMCIFRPPXXX,30087,33226,CM - CIC BANQUES,"User provided data"
FR,30087:33228,CMCIFRPPXXX,30087,33228,CM - CIC BANQUES,"User provided data"
